emg1,emg2,emg3
1.329423,3.597263,0.899316
1.432063,4.491691,0.992180
1.471163,4.491691,1.104594
1.476051,4.491691,0.767351
1.505376,4.496579,1.026393
1.505376,4.496579,1.104594
1.495601,4.252199,1.124145
1.402737,3.553275,0.738025
1.466276,4.213099,0.962854
1.383187,3.528837,0.772239
1.461388,4.486804,0.659824
1.490714,4.491691,0.884653
1.505376,4.491691,1.016618
1.471163,4.359726,0.791789
1.495601,4.491691,0.923754
1.490714,4.491691,0.972630
1.456500,4.164223,0.962854
1.436950,4.203324,1.114370
1.412512,3.675464,1.011730
1.368524,3.431085,1.036168
1.456500,4.491691,0.977517
1.412512,3.748778,0.933529
1.412512,4.027370,1.104594
1.412512,3.963832,1.114370
1.412512,3.919844,1.060606
1.314761,3.088954,0.869990
1.241447,2.600196,0.645161
1.280547,3.260020,0.953079
1.339198,3.695015,1.045943
1.427175,4.486804,1.006843
1.466276,4.491691,1.265885
1.471163,4.491691,1.124145
1.471163,4.457478,1.075269
1.485826,4.491691,1.319648
1.485826,4.496579,1.265885
1.490714,4.496579,1.456500
1.485826,4.496579,1.011730
1.485826,4.496579,0.962854
1.490714,4.491691,1.109482
1.495601,4.496579,1.173021
1.480938,4.286413,1.094819
1.461388,4.296188,1.026393
1.495601,4.496579,1.089932
1.441838,3.782991,0.855327
1.466276,4.193548,1.304985
1.490714,4.491691,1.143695
1.495601,4.496579,1.236559
1.510264,4.496579,1.476051
1.456500,4.022483,0.904203
1.451613,4.100684,0.913978
1.368524,3.333333,0.899316
1.270772,2.644184,0.811339
1.192571,2.174976,0.640274
1.246334,2.932551,0.684262
1.256109,3.010753,0.835777
1.309873,3.391984,0.943304
1.304985,3.523949,0.909091
1.251222,2.693060,0.747801
1.129032,1.534702,0.640274
1.075269,1.192571,0.439883
1.133920,2.052786,0.508309
1.207234,2.732160,0.811339
1.177908,2.375367,0.615836
1.075269,1.055718,0.366569
1.006843,0.439883,0.224829
0.997067,0.239492,0.175953
0.997067,0.166178,0.161290
0.982405,0.141740,0.151515
0.957967,0.136852,0.195503
0.962854,0.131965,0.171065
0.967742,0.131965,0.156403
0.977517,0.131965,0.151515
0.977517,0.136852,0.151515
0.972630,0.136852,0.151515
0.972630,0.136852,0.146628
0.972630,0.136852,0.146628
0.967742,0.136852,0.151515
0.967742,0.131965,0.146628
0.967742,0.136852,0.156403
0.972630,0.131965,0.146628
0.967742,0.136852,0.151515
0.977517,0.136852,0.151515
0.972630,0.136852,0.146628
0.967742,0.131965,0.151515
0.972630,0.136852,0.151515
0.977517,0.131965,0.151515
0.972630,0.136852,0.151515
0.982405,0.136852,0.151515
0.977517,0.136852,0.151515
0.982405,0.136852,0.151515
0.967742,0.127077,0.151515
0.972630,0.131965,0.146628
0.967742,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.136852,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.146628
0.972630,0.131965,0.146628
0.967742,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.146628
0.967742,0.136852,0.146628
0.967742,0.136852,0.151515
0.967742,0.131965,0.146628
0.977517,0.136852,0.146628
0.972630,0.131965,0.151515
0.972630,0.131965,0.151515
0.982405,0.131965,0.151515
0.977517,0.131965,0.146628
0.982405,0.131965,0.151515
0.982405,0.136852,0.151515
0.977517,0.127077,0.151515
0.982405,0.136852,0.156403
0.987292,0.136852,0.156403
0.977517,0.131965,0.156403
0.972630,0.127077,0.151515
0.977517,0.131965,0.151515
0.982405,0.131965,0.151515
0.982405,0.200391,0.151515
0.982405,0.180841,0.166178
1.124145,1.930596,0.547410
1.314761,3.641251,0.948192
1.485826,4.496579,1.984360
1.559140,4.496579,2.003910
1.578690,4.496579,2.057674
1.603128,4.496579,2.346041
1.598240,4.501466,2.297165
1.622678,4.496579,2.316716
1.603128,4.496579,1.979472
1.612903,4.496579,2.228739
1.598240,4.496579,1.749756
1.608016,4.496579,2.130987
1.598240,4.496579,1.725318
1.617791,4.501466,1.827957
1.603128,4.496579,1.378299
1.593353,4.496579,1.480938
1.583578,4.301075,1.471163
1.520039,3.826979,1.314761
1.476051,3.460411,1.221896
1.412512,3.264907,1.226784
1.524927,4.496579,1.344086
1.564027,4.496579,1.285435
1.588465,4.491691,1.314761
1.622678,4.496579,1.686217
1.637341,4.496579,1.339198
1.656891,4.496579,1.212121
1.661779,4.491691,0.977517
1.656891,4.340176,1.158358
1.647116,4.051808,1.148583
1.671554,4.491691,1.099707
1.632454,4.032258,0.957967
1.583578,4.090909,1.031281
1.573803,3.866080,1.256109
1.520039,3.352884,0.977517
1.549365,3.597263,0.948192
1.583578,3.851417,1.006843
1.598240,3.939394,1.177908
1.490714,3.128055,0.840665
1.520039,3.460411,0.855327
1.495601,3.475073,1.109482
1.578690,4.496579,1.089932
1.578690,4.183773,0.957967
1.544477,3.739003,1.334311
1.549365,3.919844,1.671554
1.539589,3.919844,1.671554
1.529814,3.611926,1.495601
1.456500,3.172043,1.265885
1.436950,3.372434,1.314761
1.397849,3.304008,1.153470
1.392962,3.460411,1.119257
1.397849,3.230694,1.089932
1.461388,4.100684,0.909091
1.402737,3.299120,0.869990
1.358749,3.079179,0.777126
1.378299,3.250244,0.913978
1.456500,3.968719,1.001955
1.412512,3.186706,1.055718
1.412512,3.382209,0.752688
1.358749,2.883675,0.982405
1.378299,3.416422,1.129032
1.353861,2.903226,0.953079
1.436950,4.081134,0.923754
1.456500,3.611926,0.879765
1.529814,4.134897,0.733138
1.534702,4.130010,0.967742
1.446725,3.147605,1.187683
1.446725,3.333333,1.021505
1.505376,3.836755,1.251222
1.432063,2.834800,0.962854
1.515152,4.496579,1.021505
1.549365,4.491691,0.967742
1.559140,4.467253,1.006843
1.461388,3.401760,0.791789
1.480938,3.998045,0.772239
1.505376,4.491691,0.899316
1.534702,4.491691,0.938416
1.412512,3.201369,0.904203
1.451613,3.641251,0.967742
1.471163,3.875855,0.997067
1.485826,3.905181,1.050831
1.461388,3.343109,1.085044
1.471163,3.577713,0.992180
1.373412,2.673509,0.786901
1.300098,2.443793,0.757576
1.256109,2.091887,0.645161
1.285435,2.658847,0.772239
1.378299,3.377322,0.747801
1.485826,3.866080,1.270772
1.490714,3.831867,1.109482
1.388074,2.825024,1.026393
1.436950,3.528837,0.865103
1.490714,4.007820,0.752688
1.471163,3.460411,0.752688
1.534702,4.491691,1.006843
1.480938,3.377322,0.948192
1.456500,3.460411,0.899316
1.471163,3.543500,1.065494
1.568915,4.389052,1.031281
1.529814,4.217986,0.879765
1.422287,2.996090,0.703812
1.397849,3.000978,0.957967
1.407625,3.528837,1.041056
1.407625,3.695015,0.786901
1.348974,3.010753,1.031281
1.466276,4.491691,0.899316
1.495601,4.491691,0.860215
1.427175,3.509286,1.133920
1.417400,3.714565,0.948192
1.378299,3.284457,0.840665
1.344086,3.108504,0.694037
1.304985,2.908113,0.713587
1.304985,2.678397,0.821114
1.290323,2.741935,1.143695
1.314761,3.044966,0.928641
1.256109,2.717498,0.708700
1.153470,1.593353,0.478983
1.036168,0.689150,0.371457
0.997067,0.361681,0.254154
1.006843,0.454545,0.210166
1.016618,0.532747,0.249267
1.031281,0.645161,0.244379
1.045943,0.923754,0.307918
1.026393,0.620723,0.288368
0.987292,0.386119,0.210166
0.982405,0.219941,0.171065
0.972630,0.166178,0.156403
0.972630,0.141740,0.151515
0.962854,0.131965,0.151515
0.957967,0.131965,0.146628
0.953079,0.131965,0.146628
0.957967,0.127077,0.146628
0.972630,0.131965,0.146628
0.972630,0.136852,0.151515
0.977517,0.136852,0.151515
0.967742,0.136852,0.146628
0.967742,0.127077,0.146628
0.967742,0.136852,0.146628
0.977517,0.136852,0.146628
0.977517,0.136852,0.151515
0.972630,0.131965,0.156403
