emg1,emg2,emg3
0.728250,0.493646,0.659824
0.527859,0.263930,0.322581
0.708700,0.190616,0.205279
0.972630,0.166178,0.175953
0.928641,0.141740,0.161290
0.821114,0.141740,0.166178
0.576735,0.136852,0.151515
0.689150,0.136852,0.151515
0.928641,0.136852,0.156403
0.650049,0.229717,0.219941
0.542522,1.823069,1.798631
0.703812,2.062561,2.013685
0.752688,0.796676,0.816227
1.016618,0.361681,0.371457
1.129032,0.224829,0.224829
1.089932,0.171065,0.180841
1.192571,0.156403,0.161290
0.928641,0.141740,0.156403
1.006843,0.151515,0.156403
0.957967,0.136852,0.156403
0.786901,0.146628,0.151515
0.659824,0.527859,0.522972
0.537634,1.783969,1.994135
0.718475,2.272727,2.722385
0.493646,0.913978,1.065494
0.728250,0.386119,0.459433
0.654936,0.219941,0.259042
1.304985,0.185728,0.190616
1.637341,0.156403,0.171065
1.520039,0.146628,0.161290
1.192571,0.141740,0.161290
0.957967,0.136852,0.156403
0.698925,0.131965,0.156403
0.694037,0.131965,0.151515
0.674487,0.219941,0.249267
0.532747,1.656891,1.378299
0.708700,1.583578,1.407625
0.576735,0.625611,0.635386
0.938416,0.356794,0.400782
0.728250,0.200391,0.234604
1.246334,0.166178,0.180841
0.948192,0.146628,0.166178
1.011730,0.136852,0.156403
0.894428,0.141740,0.156403
0.904203,0.131965,0.156403
0.620723,0.547410,0.322581
0.439883,2.082111,1.358749
0.615836,1.524927,1.461388
0.601173,0.889541,0.943304
0.850440,0.405670,0.522972
0.615836,0.224829,0.273705
1.251222,0.205279,0.195503
0.987292,0.161290,0.171065
0.850440,0.136852,0.161290
0.640274,0.136852,0.156403
1.001955,0.136852,0.156403
0.796676,0.131965,0.156403
0.542522,0.513196,0.801564
0.508309,1.691105,1.730205
0.654936,1.182796,2.214076
0.904203,0.493646,0.826002
0.645161,0.249267,0.376344
0.444770,0.175953,0.229717
0.948192,0.156403,0.175953
0.913978,0.141740,0.161290
0.752688,0.136852,0.161290
0.713587,0.131965,0.156403
0.620723,0.127077,0.156403
0.650049,0.136852,0.161290
0.430108,0.444770,0.454545
0.591398,1.256109,1.652004
0.571848,0.650049,0.821114
0.464321,0.430108,0.454545
0.581623,0.229717,0.249267
0.801564,0.166178,0.185728
0.796676,0.156403,0.166178
0.508309,0.141740,0.161290
0.899316,0.131965,0.156403
0.821114,0.131965,0.156403
0.557185,0.131965,0.156403
0.542522,0.215054,0.249267
0.386119,1.300098,0.845552
0.332356,1.485826,1.652004
0.371457,0.664712,0.723363
0.469208,0.312805,0.347019
0.444770,0.190616,0.219941
0.811339,0.171065,0.175953
0.645161,0.146628,0.161290
0.816227,0.136852,0.156403
0.620723,0.136852,0.156403
0.474096,0.131965,0.151515
0.596285,0.131965,0.156403
0.371457,0.175953,0.161290
0.391007,0.953079,1.094819
0.664712,1.388074,1.705767
