emg1,emg2,emg3,label
1.461388,4.481916,1.041056,close
1.476051,4.467253,0.894428,close
1.495601,4.491691,0.99218,close
1.500489,4.491691,0.97263,close
1.446725,3.665689,0.957967,close
1.383187,3.391984,0.894428,close
1.4565,4.110459,1.197458,close
1.505376,4.486804,1.143695,close
1.524927,4.486804,1.055718,close
1.510264,4.496579,0.909091,close
1.515152,4.496579,0.982405,close
1.524927,4.496579,1.094819,close
1.529814,4.496579,1.129032,close
1.544477,4.486804,1.207234,close
1.515152,4.14956,1.290323,close
1.520039,4.491691,1.309873,close
1.510264,4.496579,1.177908,close
1.500489,4.491691,0.943304,close
1.505376,4.491691,0.909091,close
1.495601,4.491691,0.923754,close
1.495601,4.491691,0.928641,close
1.476051,4.354839,0.879765,close
1.407625,3.753666,0.904203,close
1.290323,2.702835,0.938416,close
1.290323,3.11828,0.791789,close
1.329423,3.597263,0.899316,close
1.432063,4.491691,0.99218,close
1.471163,4.491691,1.104594,close
1.476051,4.491691,0.767351,close
1.505376,4.496579,1.026393,close
1.505376,4.496579,1.104594,close
1.495601,4.252199,1.124145,close
1.402737,3.553275,0.738025,close
1.466276,4.213099,0.962854,close
1.383187,3.528837,0.772239,close
1.461388,4.486804,0.659824,close
1.490714,4.491691,0.884653,close
1.505376,4.491691,1.016618,close
1.471163,4.359726,0.791789,close
1.495601,4.491691,0.923754,close
1.490714,4.491691,0.97263,close
1.4565,4.164223,0.962854,close
1.43695,4.203324,1.11437,close
1.412512,3.675464,1.01173,close
1.368524,3.431085,1.036168,close
1.4565,4.491691,0.977517,close
1.412512,3.748778,0.933529,close
1.412512,4.02737,1.104594,close
1.412512,3.963832,1.11437,close
1.412512,3.919844,1.060606,close
1.314761,3.088954,0.86999,open
1.241447,2.600196,0.645161,open
1.280547,3.26002,0.953079,open
1.339198,3.695015,1.045943,close
1.427175,4.486804,1.006843,close
1.466276,4.491691,1.265885,close
1.471163,4.491691,1.124145,close
1.471163,4.457478,1.075269,close
1.485826,4.491691,1.319648,close
1.485826,4.496579,1.265885,close
1.490714,4.496579,1.4565,close
1.485826,4.496579,1.01173,close
1.485826,4.496579,0.962854,close
1.490714,4.491691,1.109482,close
1.495601,4.496579,1.173021,close
1.480938,4.286413,1.094819,close
1.461388,4.296188,1.026393,close
1.495601,4.496579,1.089932,close
1.441838,3.782991,0.855327,close
1.466276,4.193548,1.304985,close
1.490714,4.491691,1.143695,close
1.495601,4.496579,1.236559,close
1.510264,4.496579,1.476051,close
1.4565,4.022483,0.904203,close
1.451613,4.100684,0.913978,close
1.368524,3.333333,0.899316,open
1.270772,2.644184,0.811339,open
1.192571,2.174976,0.640274,open
1.246334,2.932551,0.684262,open
1.256109,3.010753,0.835777,open
1.309873,3.391984,0.943304,open
1.304985,3.523949,0.909091,open
1.251222,2.69306,0.747801,open
1.129032,1.534702,0.640274,open
1.075269,1.192571,0.439883,open
1.13392,2.052786,0.508309,open
1.207234,2.73216,0.811339,open
1.177908,2.375367,0.615836,open
1.075269,1.055718,0.366569,open
1.006843,0.439883,0.224829,open
0.997067,0.239492,0.175953,open
0.997067,0.166178,0.16129,open
0.982405,0.14174,0.151515,open
0.957967,0.136852,0.195503,open
0.962854,0.131965,0.171065,open
0.967742,0.131965,0.156403,open
0.977517,0.131965,0.151515,open
0.977517,0.136852,0.151515,open
0.97263,0.136852,0.151515,open
0.97263,0.136852,0.146628,open
0.97263,0.136852,0.146628,open
0.967742,0.136852,0.151515,open
0.967742,0.131965,0.146628,open
0.967742,0.136852,0.156403,open
0.97263,0.131965,0.146628,open
0.967742,0.136852,0.151515,open
0.977517,0.136852,0.151515,open
0.97263,0.136852,0.146628,open
0.967742,0.131965,0.151515,open
0.97263,0.136852,0.151515,open
0.977517,0.131965,0.151515,open
0.97263,0.136852,0.151515,open
0.982405,0.136852,0.151515,open
0.977517,0.136852,0.151515,open
0.982405,0.136852,0.151515,open
0.967742,0.127077,0.151515,open
0.97263,0.131965,0.146628,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.151515,open
0.967742,0.136852,0.151515,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.146628,open
0.97263,0.131965,0.146628,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.151515,open
0.967742,0.131965,0.146628,open
0.967742,0.136852,0.146628,open
0.967742,0.136852,0.151515,open
0.967742,0.131965,0.146628,open
0.977517,0.136852,0.146628,open
0.97263,0.131965,0.151515,open
0.97263,0.131965,0.151515,open
0.982405,0.131965,0.151515,open
0.977517,0.131965,0.146628,open
0.982405,0.131965,0.151515,open
0.982405,0.136852,0.151515,open
0.977517,0.127077,0.151515,open
0.982405,0.136852,0.156403,open
0.987292,0.136852,0.156403,open
0.977517,0.131965,0.156403,open
0.97263,0.127077,0.151515,open
0.977517,0.131965,0.151515,open
